judge,author,prompt_id,condition,text_kind,style_prob_self,style_argmax_self,p_claude-opus-4.7,p_gemini-3.1-pro,p_gpt-5.5,p_kimi-k2.6
claude-opus-4.7,claude-opus-4.7,code-001,c1,original,0.45672401536896134,1,0.45672401536896134,0.362372941922749,0.09614347127321017,0.08475957143507945
claude-opus-4.7,kimi-k2.6,code-001,c1,original,0.04603095358517057,0,0.04603095358517057,0.019019723623003346,0.0006834897536683139,0.9342658330381578
claude-opus-4.7,gemini-3.1-pro,code-001,c1,original,0.0012461441327992785,0,0.0012461441327992785,0.9569071439461397,0.01882238472781571,0.023024327193245302
claude-opus-4.7,gpt-5.5,code-001,c1,original,0.016507643521318206,0,0.016507643521318206,0.603776029823259,0.16858015560816828,0.21113617104725457
claude-opus-4.7,gpt-5.5,code-002,c1,original,0.860823077319753,1,0.860823077319753,0.04304143180110285,0.09007921931047742,0.006056271568666901
claude-opus-4.7,claude-opus-4.7,code-002,c1,original,0.9156135666761708,1,0.9156135666761708,0.0748902375548525,0.006312942301439312,0.0031832534675375283
claude-opus-4.7,kimi-k2.6,code-002,c1,original,0.3753372771961289,0,0.3753372771961289,0.1298652564566166,0.014123413636869623,0.48067405271038494
claude-opus-4.7,gemini-3.1-pro,code-002,c1,original,0.1341334777538171,0,0.1341334777538171,0.7843373542908927,0.043388807451927254,0.03814036050336291
claude-opus-4.7,claude-opus-4.7,code-003,c1,original,0.5049807725561823,1,0.5049807725561823,0.3217385165702229,0.11844344098009232,0.05483726989350236
claude-opus-4.7,gpt-5.5,code-003,c1,original,0.014248160308535207,0,0.014248160308535207,0.35503211961600106,0.4379656066633373,0.19275411341212634
claude-opus-4.7,gemini-3.1-pro,code-003,c1,original,0.04891328832862217,0,0.04891328832862217,0.24106528164847066,0.6102356380683694,0.0997857919545377
claude-opus-4.7,kimi-k2.6,code-003,c1,original,0.012675032552505879,0,0.012675032552505879,0.4262744702187382,0.027595237362722222,0.5334552598660338
claude-opus-4.7,claude-opus-4.7,code-004,c1,original,0.4801721374350293,1,0.4801721374350293,0.13298217996817735,0.1257416862541246,0.26110399634266857
claude-opus-4.7,kimi-k2.6,code-004,c1,original,0.001745885323901518,0,0.001745885323901518,0.0033406855553090743,0.002037855955409566,0.9928755731653799
claude-opus-4.7,gemini-3.1-pro,code-004,c1,original,0.0002466039275663202,0,0.0002466039275663202,0.13580684027045029,0.552503918963771,0.3114426368382124
claude-opus-4.7,gpt-5.5,code-004,c1,original,0.0027102741123276337,0,0.0027102741123276337,0.0949163420320553,0.5381436609453677,0.36422972291024924
claude-opus-4.7,kimi-k2.6,code-005,c1,original,0.0022109430076567775,0,0.0022109430076567775,0.0003602349508859454,0.00048694631395741094,0.9969418757274998
claude-opus-4.7,gemini-3.1-pro,code-005,c1,original,0.08644064393351782,0,0.08644064393351782,0.5735443046610236,0.22697600781224622,0.11303904359321239
claude-opus-4.7,gpt-5.5,code-005,c1,original,0.004155719186531094,0,0.004155719186531094,0.045268582635908,0.6774410675330399,0.2731346306445209
claude-opus-4.7,claude-opus-4.7,code-005,c1,original,0.4283424748007393,1,0.4283424748007393,0.38181316393322584,0.1757380452427519,0.014106316023283043
claude-opus-4.7,gemini-3.1-pro,math-001,c1,original,0.21505692488559555,0,0.21505692488559555,0.47829717593819127,0.1318466749976403,0.174799224178573
claude-opus-4.7,claude-opus-4.7,math-001,c1,original,0.5635070921317088,1,0.5635070921317088,0.40556586943840167,0.030481478138356232,0.00044556029153333237
claude-opus-4.7,gpt-5.5,math-001,c1,original,0.07515411853917035,0,0.07515411853917035,0.3012962737458417,0.30972651429129855,0.31382309342368936
claude-opus-4.7,kimi-k2.6,math-001,c1,original,0.011866235238786655,0,0.011866235238786655,0.3923620581189349,0.2829886998230535,0.312783006819225
claude-opus-4.7,kimi-k2.6,math-002,c1,original,0.06351000427849368,0,0.06351000427849368,0.4259916724410135,0.26937728470304434,0.24112103857744857
claude-opus-4.7,gpt-5.5,math-002,c1,original,0.0340065628744856,0,0.0340065628744856,0.299508213541767,0.399853083333312,0.2666321402504353
claude-opus-4.7,claude-opus-4.7,math-002,c1,original,0.4559987285021694,1,0.4559987285021694,0.3991852285341523,0.1338255718161154,0.010990471147562906
claude-opus-4.7,gemini-3.1-pro,math-002,c1,original,0.42796643053810035,0,0.42796643053810035,0.46102151997613083,0.05314420798602049,0.05786784149974824
claude-opus-4.7,kimi-k2.6,math-003,c1,original,0.018621026993720105,0,0.018621026993720105,0.10858568749351205,0.45684078607351924,0.4159524994392485
claude-opus-4.7,gemini-3.1-pro,math-003,c1,original,0.22330164929731555,0,0.22330164929731555,0.4280043113122449,0.21010090374804363,0.1385931356423958
claude-opus-4.7,gpt-5.5,math-003,c1,original,0.09555770613253911,0,0.09555770613253911,0.1263645974543062,0.42777900755012904,0.35029868886302573
claude-opus-4.7,claude-opus-4.7,math-003,c1,original,0.6769928190785984,1,0.6769928190785984,0.14317375893370518,0.17192913051699632,0.007904291470700063
claude-opus-4.7,gpt-5.5,logic-001,c1,original,0.1289147819169878,0,0.1289147819169878,0.22877845174555783,0.4503513693413909,0.19195539699606337
claude-opus-4.7,gemini-3.1-pro,logic-001,c1,original,0.2323909670346962,0,0.2323909670346962,0.2925425562846541,0.1814400715585258,0.29362640512212396
claude-opus-4.7,claude-opus-4.7,logic-001,c1,original,0.7090942129805472,1,0.7090942129805472,0.25729690366519287,0.032414966661628,0.001193916692632105
claude-opus-4.7,kimi-k2.6,logic-001,c1,original,0.054597474271269465,0,0.054597474271269465,0.08102606750815848,0.08536761427528772,0.7790088439452844
claude-opus-4.7,kimi-k2.6,logic-002,c1,original,0.01650301407376006,0,0.01650301407376006,0.06815399439049181,0.7416762636408564,0.17366672789489176
claude-opus-4.7,gemini-3.1-pro,logic-002,c1,original,0.02024754886173915,0,0.02024754886173915,0.4240391326535322,0.34084580157725153,0.21486751690747716
claude-opus-4.7,gpt-5.5,logic-002,c1,original,0.037011836437494235,0,0.037011836437494235,0.2006959117713313,0.46745127089194777,0.2948409808992268
claude-opus-4.7,claude-opus-4.7,logic-002,c1,original,0.35994344674514417,0,0.35994344674514417,0.5515035326151851,0.07076076556086668,0.017792255078804116
claude-opus-4.7,claude-opus-4.7,logic-003,c1,original,0.9226408411672136,1,0.9226408411672136,0.00016967464122539302,4.32119057012248e-06,0.07718516300099089
claude-opus-4.7,gemini-3.1-pro,logic-003,c1,original,0.3331090996763897,0,0.3331090996763897,0.6008853137316023,0.03592262370619575,0.030082962885812452
claude-opus-4.7,gpt-5.5,logic-003,c1,original,0.15342487285542883,0,0.15342487285542883,0.12845690537751445,0.5597140829005999,0.1584041388664568
claude-opus-4.7,kimi-k2.6,logic-003,c1,original,0.0178538475775767,0,0.0178538475775767,0.1157046973361404,0.5723942832337037,0.29404717185257934
claude-opus-4.7,claude-opus-4.7,creative-001,c1,original,0.030581453649124787,0,0.030581453649124787,0.13371253784416232,0.40853810095895765,0.4271679075477553
claude-opus-4.7,gpt-5.5,creative-001,c1,original,0.03000953264889283,0,0.03000953264889283,0.055035231277646555,0.6292960435268738,0.2856591925465868
