dimension_a,dimension_b,pearson,spearman,mean_abs_difference
correctness,completeness,0.8956296634863306,0.8816146616422864,0.6416666666666667
completeness,constraint_adherence,0.8531212941229199,0.8461266306184292,1.1333333333333333
correctness,constraint_adherence,0.8146095368087701,0.8222931937759237,1.25
correctness,clarity,0.7890235473922166,0.8132983453476516,0.98125
completeness,clarity,0.7810023391660045,0.8150051756960813,1.0895833333333333
completeness,creativity,0.7746194800548576,0.7641850424357536,1.40625
clarity,constraint_adherence,0.742977017537842,0.8008567794113768,1.7145833333333333
clarity,creativity,0.7044664710186044,0.6837389715115355,1.6333333333333333
creativity,constraint_adherence,0.7007438623847168,0.6660416954293543,2.0145833333333334
correctness,creativity,0.7003133867492167,0.6757290590666476,1.4645833333333333
