panel_size,panel,bias,self_mean,peer_mean,n_self,n_peer,ci_lower,ci_upper
1,claude-opus-4.7,2.4333,9.78,7.3467,10,30,1.7312,3.22
1,gemini-3.1-pro,0.6267,8.38,7.7533,10,30,-0.4133,1.6408
1,gpt-5.5,1.3267,8.94,7.6133,10,30,0.5257,2.1733
1,kimi-k2.6,-2.8733,5.74,8.6133,10,30,-3.8774,-1.7937
2,claude-opus-4.7 + gemini-3.1-pro,1.835,8.85,7.015,40,40,0.7755,2.9561
2,claude-opus-4.7 + gpt-5.5,2.58,9.24,6.66,40,40,1.6933,3.4965
2,claude-opus-4.7 + kimi-k2.6,-0.82,7.515,8.335,40,40,-1.9413,0.2898
2,gemini-3.1-pro + gpt-5.5,1.365,8.61,7.245,40,40,0.2374,2.5342
2,gemini-3.1-pro + kimi-k2.6,-2.075,6.865,8.94,40,40,-2.9253,-1.2206
2,gpt-5.5 + kimi-k2.6,-1.75,7.045,8.795,40,40,-2.7,-0.8207
3,claude-opus-4.7 + gemini-3.1-pro + gpt-5.5,3.6756,8.8556,5.18,90,30,2.4301,4.6771
3,claude-opus-4.7 + gemini-3.1-pro + kimi-k2.6,-1.0044,7.6689,8.6733,90,30,-1.7975,-0.271
3,claude-opus-4.7 + gpt-5.5 + kimi-k2.6,-0.2867,7.86,8.1467,90,30,-1.1979,0.6979
3,gemini-3.1-pro + gpt-5.5 + kimi-k2.6,-1.88,7.4467,9.3267,90,30,-2.598,-1.2222
4,All 4,0.0946,,,,,0.0417,0.1485
