scope,metric,value,n_cells
pooled_all,pearson_claude_gemini,0.9275,120
pooled_all,spearman_claude_gemini,0.7572,120
pooled_all,pearson_claude_gpt,0.9301,120
pooled_all,spearman_claude_gpt,0.8415,120
pooled_all,pearson_claude_kimi,0.8993,120
pooled_all,spearman_claude_kimi,0.8803,120
pooled_all,pearson_gemini_gpt,0.9671,120
pooled_all,spearman_gemini_gpt,0.9116,120
pooled_all,pearson_gemini_kimi,0.8881,120
pooled_all,spearman_gemini_kimi,0.7604,120
pooled_all,pearson_gpt_kimi,0.8951,120
pooled_all,spearman_gpt_kimi,0.8106,120
pooled_all,icc_2_1,0.9136,120
pooled_all,icc_2_k,0.9769,120
pooled_all,krippendorff_alpha,0.9131,120
pooled_all,mean_within_cell_sd,0.5030,120
c1,pearson_claude_gemini,0.9432,40
c1,spearman_claude_gemini,0.7463,40
c1,pearson_claude_gpt,0.9478,40
c1,spearman_claude_gpt,0.8426,40
c1,pearson_claude_kimi,0.9105,40
c1,spearman_claude_kimi,0.8732,40
c1,pearson_gemini_gpt,0.9753,40
c1,spearman_gemini_gpt,0.9120,40
c1,pearson_gemini_kimi,0.8911,40
c1,spearman_gemini_kimi,0.7249,40
c1,pearson_gpt_kimi,0.9079,40
c1,spearman_gpt_kimi,0.8197,40
c1,icc_2_1,0.9253,40
c1,icc_2_k,0.9802,40
c1,krippendorff_alpha,0.9240,40
c1,mean_within_cell_sd,0.4607,40
c2,pearson_claude_gemini,0.9320,40
c2,spearman_claude_gemini,0.8435,40
c2,pearson_claude_gpt,0.9170,40
c2,spearman_claude_gpt,0.8487,40
c2,pearson_claude_kimi,0.9011,40
c2,spearman_claude_kimi,0.9187,40
c2,pearson_gemini_gpt,0.9688,40
c2,spearman_gemini_gpt,0.9383,40
c2,pearson_gemini_kimi,0.8792,40
c2,spearman_gemini_kimi,0.8298,40
c2,pearson_gpt_kimi,0.8699,40
c2,spearman_gpt_kimi,0.7976,40
c2,icc_2_1,0.9013,40
c2,icc_2_k,0.9733,40
c2,krippendorff_alpha,0.8994,40
c2,mean_within_cell_sd,0.5713,40
c3,pearson_claude_gemini,0.9161,40
c3,spearman_claude_gemini,0.6947,40
c3,pearson_claude_gpt,0.9478,40
c3,spearman_claude_gpt,0.8426,40
c3,pearson_claude_kimi,0.9122,40
c3,spearman_claude_kimi,0.8732,40
c3,pearson_gemini_gpt,0.9559,40
c3,spearman_gemini_gpt,0.8676,40
c3,pearson_gemini_kimi,0.8940,40
c3,spearman_gemini_kimi,0.7220,40
c3,pearson_gpt_kimi,0.9091,40
c3,spearman_gpt_kimi,0.8197,40
c3,icc_2_1,0.9180,40
c3,icc_2_k,0.9781,40
c3,krippendorff_alpha,0.9166,40
c3,mean_within_cell_sd,0.4770,40
author_means_pool,pearson_claude_gemini,0.9545,12
author_means_pool,pearson_claude_gpt,0.9747,12
author_means_pool,pearson_claude_kimi,0.9753,12
author_means_pool,pearson_gemini_gpt,0.9825,12
author_means_pool,pearson_gemini_kimi,0.9322,12
author_means_pool,pearson_gpt_kimi,0.9629,12
