author,judge,n_scores,mean_composite,mean_signed_vs_peer_consensus,mean_abs_vs_peer_consensus
claude-opus-4.7,claude-opus-4.7,30,8.993333333333334,0.3244444444444446,0.391111111111111
claude-opus-4.7,gemini-3.1-pro,30,8.466666666666667,-0.3777777777777778,0.4444444444444445
claude-opus-4.7,gpt-5.5,30,8.773333333333333,0.031111111111111023,0.217777777777778
claude-opus-4.7,kimi-k2.6,30,8.766666666666667,0.022222222222222098,0.26666666666666666
gemini-3.1-pro,claude-opus-4.7,30,8.213333333333333,-0.060000000000000234,0.33555555555555566
gemini-3.1-pro,gemini-3.1-pro,30,8.446666666666667,0.25111111111111106,0.34444444444444444
gemini-3.1-pro,gpt-5.5,30,8.153333333333332,-0.14000000000000018,0.37555555555555586
gemini-3.1-pro,kimi-k2.6,30,8.22,-0.05111111111111137,0.5177777777777773
gpt-5.5,claude-opus-4.7,30,8.446666666666667,0.044444444444444446,0.31555555555555503
gpt-5.5,gemini-3.1-pro,30,8.620000000000001,0.2755555555555556,0.3244444444444445
gpt-5.5,gpt-5.5,30,8.573333333333332,0.21333333333333337,0.3244444444444446
gpt-5.5,kimi-k2.6,30,8.013333333333334,-0.5333333333333334,0.5600000000000002
kimi-k2.6,claude-opus-4.7,30,5.253333333333333,-0.1933333333333333,0.5488888888888888
kimi-k2.6,gemini-3.1-pro,30,5.306666666666667,-0.12222222222222197,0.28666666666666674
kimi-k2.6,gpt-5.5,30,5.406666666666666,0.011111111111111278,0.33555555555555544
kimi-k2.6,kimi-k2.6,30,5.626666666666667,0.3044444444444444,0.6288888888888889
