condition,judge,n_scores,mean_composite,sd_composite,mean_signed_vs_peer_consensus,mean_abs_vs_peer_consensus
c1,claude-opus-4.7,40,7.955,2.0558796233342616,0.03833333333333337,0.4716666666666665
c1,gemini-3.1-pro,40,7.909999999999999,1.950121626713154,-0.021666666666666702,0.3950000000000002
c1,gpt-5.5,40,7.945,1.972626779260692,0.025000000000000133,0.3283333333333336
c1,kimi-k2.6,40,7.8950000000000005,1.6510990900391795,-0.04166666666666681,0.635
c2,claude-opus-4.7,40,7.2700000000000005,2.1930192277618854,0.013333333333333308,0.2266666666666663
c2,gemini-3.1-pro,40,7.305,2.216019762940662,0.06000000000000007,0.19999999999999987
c2,gpt-5.5,40,7.290000000000001,2.204401192021229,0.03999999999999977,0.2633333333333333
c2,kimi-k2.6,40,7.175,2.2096234741321643,-0.11333333333333329,0.23666666666666644
c3,claude-opus-4.7,40,7.955,2.0558796233342616,0.03499999999999994,0.49499999999999994
c3,gemini-3.1-pro,40,7.915000000000001,1.8897225410232272,-0.01833333333333319,0.45500000000000007
c3,gpt-5.5,40,7.945,1.9726267792606917,0.021666666666666713,0.34833333333333355
c3,kimi-k2.6,40,7.9,1.6486202467362574,-0.03833333333333362,0.6083333333333334
