judge,displayed_label,mean_residual,n,ci_lo,ci_hi,ci_excludes_zero
claude-opus-4.7,claude-opus-4.7,+0.0900,20,-0.0455,+0.2300,0
claude-opus-4.7,gemini-3.1-pro,-0.0200,20,-0.1190,+0.0714,0
claude-opus-4.7,gpt-5.5,-0.0600,20,-0.1750,+0.0500,0
claude-opus-4.7,kimi-k2.6,-0.0100,20,-0.1789,+0.1524,0
gemini-3.1-pro,claude-opus-4.7,+0.0350,20,-0.0522,+0.1269,0
gemini-3.1-pro,gemini-3.1-pro,+0.2200,20,+0.1059,+0.3316,1
gemini-3.1-pro,gpt-5.5,-0.0100,20,-0.1267,+0.0941,0
gemini-3.1-pro,kimi-k2.6,-0.2450,20,-0.3375,-0.1563,1
gpt-5.5,claude-opus-4.7,+0.0000,20,+0.0000,+0.0000,0
gpt-5.5,gemini-3.1-pro,+0.0000,20,+0.0000,+0.0000,0
gpt-5.5,gpt-5.5,+0.0000,20,+0.0000,+0.0000,0
gpt-5.5,kimi-k2.6,+0.0000,20,+0.0000,+0.0000,0
kimi-k2.6,claude-opus-4.7,+0.2250,20,-0.0524,+0.5238,0
kimi-k2.6,gemini-3.1-pro,-0.0700,20,-0.4000,+0.2577,0
kimi-k2.6,gpt-5.5,-0.1600,20,-0.3917,+0.0706,0
kimi-k2.6,kimi-k2.6,+0.0050,20,-0.2412,+0.2632,0
