judge,displayed_label,mean,p_raw,ci95_lo,ci95_hi,bonf_lo,bonf_hi,bh_q,sig_naive_95,sig_bh_05,sig_bonf_05
claude-opus-4.7,claude-opus-4.7,+0.0902,0.2125,-0.0462,+0.2333,-0.1050,+0.3187,0.6800,0,0,0
claude-opus-4.7,gemini-3.1-pro,-0.0189,0.7080,-0.1190,+0.0765,-0.1722,+0.1250,1.0000,0,0,0
claude-opus-4.7,gpt-5.5,-0.0596,0.3150,-0.1810,+0.0476,-0.2412,+0.1042,0.8400,0,0,0
claude-opus-4.7,kimi-k2.6,-0.0114,0.8765,-0.1762,+0.1529,-0.2762,+0.2357,1.0000,0,0,0
gemini-3.1-pro,claude-opus-4.7,+0.0348,0.4290,-0.0526,+0.1250,-0.1000,+0.1722,0.9806,0,0,0
gemini-3.1-pro,gemini-3.1-pro,+0.2199,0.0003,+0.1111,+0.3350,+0.0600,+0.3933,0.0020,1,1,1
gemini-3.1-pro,gpt-5.5,-0.0096,0.8800,-0.1235,+0.0952,-0.1900,+0.1500,1.0000,0,0,0
gemini-3.1-pro,kimi-k2.6,-0.2448,0.0003,-0.3381,-0.1545,-0.3905,-0.1167,0.0020,1,1,1
gpt-5.5,claude-opus-4.7,+0.0000,1.0000,+0.0000,+0.0000,+0.0000,+0.0000,1.0000,0,0,0
gpt-5.5,gemini-3.1-pro,+0.0000,1.0000,+0.0000,+0.0000,+0.0000,+0.0000,1.0000,0,0,0
gpt-5.5,gpt-5.5,+0.0000,1.0000,+0.0000,+0.0000,+0.0000,+0.0000,1.0000,0,0,0
gpt-5.5,kimi-k2.6,+0.0000,1.0000,+0.0000,+0.0000,+0.0000,+0.0000,1.0000,0,0,0
kimi-k2.6,claude-opus-4.7,+0.2224,0.1165,-0.0474,+0.5158,-0.1870,+0.6762,0.6213,0,0,0
kimi-k2.6,gemini-3.1-pro,-0.0665,0.7035,-0.3913,+0.2500,-0.5733,+0.3867,1.0000,0,0,0
kimi-k2.6,gpt-5.5,-0.1608,0.1620,-0.3889,+0.0650,-0.5050,+0.1714,0.6480,0,0,0
kimi-k2.6,kimi-k2.6,+0.0036,0.9750,-0.2421,+0.2600,-0.3722,+0.3857,1.0000,0,0,0
