judge,displayed_label,cell_mean,n,judge_mean,displayed_label_mean,additive_expected,interaction_residual,interaction_ss_contribution,share_interaction_ss
gemini-3.1-pro,gemini-3.1-pro,0.22000000000000028,20,1.1102230246251565e-16,0.03250000000000004,0.032500000000000126,0.18750000000000017,0.7031250000000012,0.2521969153515072
gemini-3.1-pro,kimi-k2.6,-0.24499999999999988,20,1.1102230246251565e-16,-0.06249999999999998,-0.062499999999999896,-0.1825,0.6661249999999999,0.23892575322812074
kimi-k2.6,claude-opus-4.7,0.2250000000000001,20,1.1102230246251566e-17,0.08750000000000002,0.08750000000000001,0.13750000000000007,0.3781250000000003,0.13562589670014374
kimi-k2.6,gemini-3.1-pro,-0.07000000000000015,20,1.1102230246251566e-17,0.03250000000000004,0.03250000000000003,-0.10250000000000017,0.21012500000000073,0.07536764705882389
kimi-k2.6,gpt-5.5,-0.15999999999999992,20,1.1102230246251566e-17,-0.057499999999999975,-0.05749999999999999,-0.10249999999999992,0.21012499999999967,0.0753676470588235
gpt-5.5,claude-opus-4.7,0.0,20,0.0,0.08750000000000002,0.0875,-0.0875,0.15312499999999998,0.05492288378766146
kimi-k2.6,kimi-k2.6,0.005000000000000027,20,1.1102230246251566e-17,-0.06249999999999998,-0.06249999999999999,0.06750000000000002,0.09112500000000004,0.03268472022955529
gpt-5.5,kimi-k2.6,0.0,20,0.0,-0.06249999999999998,-0.06250000000000001,0.06250000000000001,0.07812500000000003,0.02802187948350076
gpt-5.5,gpt-5.5,0.0,20,0.0,-0.057499999999999975,-0.0575,0.0575,0.066125,0.023717718794835037
gemini-3.1-pro,claude-opus-4.7,0.03500000000000005,20,1.1102230246251565e-16,0.08750000000000002,0.0875000000000001,-0.052500000000000054,0.05512500000000011,0.019772238163558168
claude-opus-4.7,gemini-3.1-pro,-0.019999999999999952,20,-5.551115123125783e-18,0.03250000000000004,0.03250000000000001,-0.05249999999999996,0.055124999999999924,0.019772238163558102
claude-opus-4.7,kimi-k2.6,-0.010000000000000054,20,-5.551115123125783e-18,-0.06249999999999998,-0.06250000000000001,0.05249999999999996,0.055124999999999924,0.019772238163558102
gemini-3.1-pro,gpt-5.5,-0.010000000000000009,20,1.1102230246251565e-16,-0.057499999999999975,-0.05749999999999989,0.04749999999999988,0.045124999999999776,0.016185437589669952
gpt-5.5,gemini-3.1-pro,0.0,20,0.0,0.03250000000000004,0.032500000000000015,-0.032500000000000015,0.02112500000000002,0.007577116212338609
claude-opus-4.7,gpt-5.5,-0.05999999999999996,20,-5.551115123125783e-18,-0.057499999999999975,-0.05750000000000001,-0.0024999999999999536,0.00012499999999999537,4.483500717359954e-05
claude-opus-4.7,claude-opus-4.7,0.08999999999999994,20,-5.551115123125783e-18,0.08750000000000002,0.0875,0.0024999999999999467,0.00012499999999999466,4.483500717359929e-05
