scope,judge,estimand,n_paired_units,mean,boot_ci_low,boot_ci_high,sd
all_judges,ALL,displayed_self_minus_other_labels,80,0.004999999999999988,-0.047520833333333436,0.05750000000000003,0.23926163965031555
all_judges,ALL,displayed_kimi_minus_non_kimi_labels,80,0.004999999999999988,-0.046666666666666676,0.05666666666666681,0.2420668155254282
non_kimi_judges,ALL_EXCEPT_KIMI,displayed_kimi_minus_non_kimi_labels,80,0.004999999999999988,-0.046666666666666676,0.05666666666666681,0.2420668155254282
judge,gemini-3.1-pro,displayed_self_minus_other_labels,40,0.07833333333333323,0.013333333333333317,0.14333333333333326,0.20858361035115505
judge,gemini-3.1-pro,displayed_kimi_minus_non_kimi_labels,40,-0.0016666666666667828,-0.07666666666666677,0.07333333333333333,0.24829331978442895
judge,gpt-5.5,displayed_self_minus_other_labels,40,-0.06833333333333325,-0.14499999999999988,0.005000000000000139,0.24783392104724553
judge,gpt-5.5,displayed_kimi_minus_non_kimi_labels,40,0.01166666666666676,-0.06166666666666665,0.08333333333333337,0.23865124335401225
raw_mean_by_judge_label,gemini-3.1-pro,mean_score_displayed_claude-opus-4.7,40,7.915000000000001,,,2.0208591724491334
raw_mean_by_judge_label,gemini-3.1-pro,mean_score_displayed_gemini-3.1-pro,40,7.9799999999999995,,,1.8842396276373594
raw_mean_by_judge_label,gemini-3.1-pro,mean_score_displayed_gpt-5.5,40,7.87,,,1.9035998286647087
raw_mean_by_judge_label,gemini-3.1-pro,mean_score_displayed_kimi-k2.6,40,7.919999999999999,,,1.9479377655514403
raw_mean_by_judge_label,gpt-5.5,mean_score_displayed_claude-opus-4.7,40,7.94,,,1.92484431604887
raw_mean_by_judge_label,gpt-5.5,mean_score_displayed_gemini-3.1-pro,40,7.935,,,1.9265420064364294
raw_mean_by_judge_label,gpt-5.5,mean_score_displayed_gpt-5.5,40,7.865,,,1.98475600773909
raw_mean_by_judge_label,gpt-5.5,mean_score_displayed_kimi-k2.6,40,7.925,,,1.9957326268688191
