category,prompt_id,Claude,Gemini,GPT,Kimi,mean_4J,mean_4J_ci_low,mean_4J_ci_high
coding,repl-code-001,3.4000,-1.0667,2.4000,-2.8667,0.4667,0.4667,0.4667
creative,repl-creative-001,2.7333,1.6000,2.0000,-3.5333,0.7000,0.7000,0.7000
design,repl-design-001,2.6667,1.0000,0.9333,-2.6000,0.5000,0.5000,0.5000
ethics,repl-ethics-001,2.8667,0.2000,1.0000,-3.1333,0.2333,0.2333,0.2333
explain,repl-explain-001,1.7333,0.2000,0.6000,-0.4000,0.5333,0.5333,0.5333
history,repl-history-001,1.2667,0.1333,0.5333,-0.4000,0.3833,0.3833,0.3833
logic,repl-logic-001,2.3333,1.6667,2.2000,-5.4000,0.2000,0.2000,0.2000
math,repl-math-001,2.2000,1.5333,1.3333,-4.4667,0.1500,0.1500,0.1500
philosophy,repl-philosophy-001,2.1333,-0.4000,1.2000,-2.4000,0.1333,0.1333,0.1333
science,repl-science-001,3.0000,1.4000,1.0667,-3.5333,0.4833,0.4833,0.4833
per_judge_mean_4J_collapsed,,2.4333,0.6267,1.3267,-2.8733,,,
