claim,family,full_est,lopo_min,lopo_max,lopo_range,max_swing_prompt,max_swing,sign_flip
Claude 4J Observational Baseline (C1),Observational (C1),2.4333333333333336,2.325925925925926,2.562962962962963,0.23703703703703694,repl-history-001,0.12962962962962932,False
Gemini 4J Observational Baseline (C1),Observational (C1),0.6266666666666667,0.511111111111111,0.8148148148148149,0.3037037037037039,repl-code-001,0.18814814814814818,False
GPT 4J Observational Baseline (C1),Observational (C1),1.3266666666666667,1.207407407407407,1.414814814814815,0.20740740740740793,repl-code-001,-0.11925925925925962,False
Kimi 4J Observational Baseline (C1),Observational (C1),-2.8733333333333335,-3.1481481481481484,-2.592592592592593,0.5555555555555554,repl-logic-001,0.2807407407407405,False
Pooled 4J Observational Baseline (C1),Observational (C1),0.3783333333333332,0.3425925925925924,0.4055555555555556,0.06296296296296322,repl-creative-001,-0.035740740740740795,False
Pooled 3J Observational Baseline (C1),Observational (C1),1.4622222222222225,1.3901234567901233,1.5530864197530865,0.1629629629629632,repl-history-001,0.09086419753086394,False
Causal Label-Swap: Claude Self-Effect,Causal RCT,0.18,0.09999999999999999,0.288888888888889,0.188888888888889,repl-philosophy-001,0.10888888888888898,False
Causal Label-Swap: Gemini Self-Effect,Causal RCT,0.4400000000000002,0.377777777777778,0.5222222222222224,0.14444444444444438,repl-logic-001,0.08222222222222214,False
Causal Label-Swap: GPT Self-Effect,Causal RCT,0.0,0.0,0.0,0.0,repl-code-001,0.0,False
Causal Label-Swap: Kimi Self-Effect,Causal RCT,0.00999999999999992,-0.12941176470588253,0.0999999999999999,0.22941176470588243,repl-philosophy-001,-0.13941176470588246,True
Causal Label-Swap: Gemini anti-Kimi,Causal RCT,-0.49000000000000005,-0.5222222222222224,-0.4333333333333334,0.08888888888888896,repl-history-001,0.05666666666666664,False
Causal Label-Swap: Kimi pro-Claude,Causal RCT,0.45000000000000007,0.22352941176470587,0.6222222222222223,0.3986928104575165,repl-code-001,-0.2264705882352942,False
Causal Label-Swap: Claude pro-Claude,Causal RCT,0.18,0.09999999999999999,0.288888888888889,0.188888888888889,repl-philosophy-001,0.10888888888888898,False
Floor-Raiser Mechanism (Gemini),Mechanism,-0.8742928863000837,-0.9240869100684195,-0.8290453438513137,0.0950415662171058,repl-design-001,-0.04979402376833575,False
