family,claim,est,ci_low,ci_high,n,se,obs_z,obs_power,n_for_80pct
Observational (C1),Claude 4J Observational Baseline (C1),2.4333,2.0467,2.7933,10,0.1905,12.775,1.000,0.5
Observational (C1),GPT 4J Observational Baseline (C1),1.3267,0.9667,1.7333,10,0.1956,6.783,1.000,1.7
Observational (C1),Kimi 4J Observational Baseline (C1),-2.8733,-3.7402,-1.9132,10,0.4661,-6.165,1.000,2.1
Observational (C1),Pooled 3J Observational Baseline (C1),1.4622,1.0844,1.8178,30,0.1871,7.816,1.000,3.9
Causal RCT,Causal Label-Swap: Gemini Self-Effect,0.4400,0.2300,0.6700,20,0.1122,3.920,0.975,10.2
Causal RCT,Causal Label-Swap: Gemini anti-Kimi,-0.2450,-0.3400,-0.1550,20,0.0472,-5.191,0.999,5.8
Mechanism,Floor-Raiser Mechanism (Gemini),-0.8743,-0.9717,-0.6694,20,0.0771,-11.337,1.000,1.2
Mechanism,Mediation: Perceived Authorship (pooled β_predicted_self),1.5320,0.8180,2.6530,0,0.4681,3.273,0.905,nan
Observational (C1),Gemini 4J Observational Baseline (C1),0.6267,0.0400,1.1733,10,0.2891,2.168,0.582,16.7
Causal RCT,Causal Label-Swap: Kimi pro-Claude,0.2250,-0.0400,0.5250,20,0.1441,1.561,0.345,64.4
Mechanism,Mediation: Actual Authorship (pooled β_actual_self),-0.3490,-0.9120,0.0080,0,0.2347,-1.487,0.318,nan
Causal RCT,Causal Label-Swap: Claude Self-Effect,0.1800,-0.0800,0.4600,20,0.1378,1.307,0.257,92.0
Causal RCT,Causal Label-Swap: Claude pro-Claude,0.0900,-0.0500,0.2300,20,0.0714,1.260,0.243,98.9
Observational (C1),Pooled 4J Observational Baseline (C1),0.3783,-0.3167,1.0301,40,0.3436,1.101,0.196,259.0
Causal RCT,Causal Label-Swap: Kimi Self-Effect,0.0100,-0.4700,0.5203,20,0.2526,0.040,0.050,100203.7
Causal RCT,Causal Label-Swap: GPT Self-Effect,0.0000,0.0000,0.0000,20,0.0000,inf,1.000,0.0
