condition,group_position,mean_composite,mean_adjusted_residual,n
c1,1,6.750,0.000,16
c1,2,7.450,0.000,16
c1,3,8.275,0.000,16
c1,4,7.725,0.000,16
c1,5,8.037,0.000,16
c1,6,8.037,0.000,16
c1,7,7.875,0.000,16
c1,8,7.850,0.000,16
c1,9,8.812,0.000,16
c1,10,8.450,0.000,16
c2,1,5.713,-0.000,16
c2,2,6.263,-0.000,16
c2,3,8.450,-0.000,16
c2,4,6.412,-0.000,16
c2,5,8.175,-0.000,16
c2,6,8.125,-0.000,16
c2,7,7.963,-0.000,16
c2,8,6.237,-0.000,16
c2,9,7.838,-0.000,16
c2,10,7.425,-0.000,16
c3,1,6.787,-0.000,16
c3,2,7.438,-0.000,16
c3,3,8.287,-0.000,16
c3,4,7.763,-0.000,16
c3,5,8.025,-0.000,16
c3,6,7.963,-0.000,16
c3,7,7.875,-0.000,16
c3,8,7.975,-0.000,16
c3,9,8.738,-0.000,16
c3,10,8.438,-0.000,16
