judge,condition,response_position,mean_composite,mean_adjusted_residual,n
claude-opus-4.7,c1,1,7.020,-0.274,10
claude-opus-4.7,c1,2,8.080,-0.079,10
claude-opus-4.7,c1,3,8.340,0.111,10
claude-opus-4.7,c1,4,8.380,0.241,10
claude-opus-4.7,c2,1,7.240,0.015,10
claude-opus-4.7,c2,2,7.460,0.005,10
claude-opus-4.7,c2,3,7.000,0.015,10
claude-opus-4.7,c2,4,7.380,-0.035,10
claude-opus-4.7,c3,1,7.560,-0.051,10
claude-opus-4.7,c3,2,8.320,0.009,10
claude-opus-4.7,c3,3,9.160,0.149,10
claude-opus-4.7,c3,4,6.780,-0.106,10
gemini-3.1-pro,c1,1,8.140,-0.019,10
gemini-3.1-pro,c1,2,8.420,0.031,10
gemini-3.1-pro,c1,3,8.620,-0.009,10
gemini-3.1-pro,c1,4,6.460,-0.004,10
gemini-3.1-pro,c2,1,7.040,0.060,10
gemini-3.1-pro,c2,2,7.680,0.020,10
gemini-3.1-pro,c2,3,6.440,-0.085,10
gemini-3.1-pro,c2,4,8.060,0.005,10
gemini-3.1-pro,c3,1,8.860,0.054,10
gemini-3.1-pro,c3,2,8.180,-0.241,10
gemini-3.1-pro,c3,3,8.100,0.189,10
gemini-3.1-pro,c3,4,6.520,-0.001,10
gpt-5.5,c1,1,7.860,0.111,10
gpt-5.5,c1,2,8.320,-0.079,10
gpt-5.5,c1,3,8.640,-0.039,10
gpt-5.5,c1,4,6.960,0.006,10
gpt-5.5,c2,1,6.080,0.040,10
gpt-5.5,c2,2,8.080,-0.035,10
gpt-5.5,c2,3,7.420,0.080,10
gpt-5.5,c2,4,7.580,-0.085,10
gpt-5.5,c3,1,8.380,0.194,10
gpt-5.5,c3,2,7.440,-0.106,10
gpt-5.5,c3,3,7.480,0.024,10
gpt-5.5,c3,4,8.480,-0.111,10
kimi-k2.6,c1,1,7.740,-0.044,10
kimi-k2.6,c1,2,7.920,0.401,10
kimi-k2.6,c1,3,7.600,-0.109,10
kimi-k2.6,c1,4,8.320,-0.249,10
kimi-k2.6,c2,1,6.860,-0.060,10
kimi-k2.6,c2,2,6.940,0.040,10
kimi-k2.6,c2,3,7.080,-0.045,10
kimi-k2.6,c2,4,7.820,0.065,10
kimi-k2.6,c3,1,7.660,0.029,10
kimi-k2.6,c3,2,7.280,0.169,10
kimi-k2.6,c3,3,8.260,-0.121,10
kimi-k2.6,c3,4,8.400,-0.076,10
