judge,condition,position_type,first_mean,last_mean,last_minus_first,n
claude-opus-4.7,c1,group_position,7.050,8.700,1.650,40
claude-opus-4.7,c2,group_position,5.700,7.400,1.700,40
claude-opus-4.7,c3,group_position,7.050,8.700,1.650,40
gemini-3.1-pro,c1,group_position,6.600,8.450,1.850,40
gemini-3.1-pro,c2,group_position,5.900,7.250,1.350,40
gemini-3.1-pro,c3,group_position,6.750,8.400,1.650,40
gpt-5.5,c1,group_position,6.200,8.350,2.150,40
gpt-5.5,c2,group_position,5.750,7.650,1.900,40
gpt-5.5,c3,group_position,6.200,8.350,2.150,40
kimi-k2.6,c1,group_position,7.150,8.300,1.150,40
kimi-k2.6,c2,group_position,5.500,7.400,1.900,40
kimi-k2.6,c3,group_position,7.150,8.300,1.150,40
claude-opus-4.7,c1,response_position,7.020,8.380,1.360,40
claude-opus-4.7,c2,response_position,7.240,7.380,0.140,40
claude-opus-4.7,c3,response_position,7.560,6.780,-0.780,40
gemini-3.1-pro,c1,response_position,8.140,6.460,-1.680,40
gemini-3.1-pro,c2,response_position,7.040,8.060,1.020,40
gemini-3.1-pro,c3,response_position,8.860,6.520,-2.340,40
gpt-5.5,c1,response_position,7.860,6.960,-0.900,40
gpt-5.5,c2,response_position,6.080,7.580,1.500,40
gpt-5.5,c3,response_position,8.380,8.480,0.100,40
kimi-k2.6,c1,response_position,7.740,8.320,0.580,40
kimi-k2.6,c2,response_position,6.860,7.820,0.960,40
kimi-k2.6,c3,response_position,7.660,8.400,0.740,40
