judge,actual_self,predicted_self,mean,n,std
claude-opus-4.7,0,0,7.346666666666667,30,2.0314311811326915
claude-opus-4.7,1,1,9.78,10,0.2898275349237891
gemini-3.1-pro,0,0,7.921428571428572,28,2.1196360873643245
gemini-3.1-pro,0,1,5.4,2,0.8485281374238568
gemini-3.1-pro,1,0,8.355555555555556,9,1.1948965552623279
gemini-3.1-pro,1,1,8.6,1,
gpt-5.5,0,0,7.613333333333333,30,2.171243618430394
gpt-5.5,1,1,8.940000000000001,10,0.4526465385804787
kimi-k2.6,0,0,8.538461538461538,26,0.8499773752645061
kimi-k2.6,0,1,9.1,4,0.8717797887081348
kimi-k2.6,1,0,5.74,10,1.597358931347478
