judge,condition,correctness_gap,completeness_gap,clarity_gap,creativity_gap,constraint_adherence_gap
claude-opus-4.7,C1,2.600,2.933,1.333,2.967,2.333
claude-opus-4.7,C2,0.067,0.533,0.300,0.200,-0.100
claude-opus-4.7,C3,2.600,2.933,1.333,2.967,2.333
gemini-3.1-pro,C1,0.600,0.700,0.733,-0.100,1.200
gemini-3.1-pro,C2,1.533,1.533,0.933,0.667,2.367
gemini-3.1-pro,C3,1.033,0.800,0.533,0.267,1.933
gpt-5.5,C1,1.600,1.667,0.633,0.500,2.233
gpt-5.5,C2,0.967,0.867,0.533,0.567,0.733
gpt-5.5,C3,1.600,1.667,0.633,0.500,2.233
kimi-k2.6,C1,-2.967,-2.467,-2.100,-2.033,-4.800
kimi-k2.6,C2,-2.533,-3.033,-1.467,-1.567,-3.233
kimi-k2.6,C3,-2.967,-2.467,-2.100,-2.033,-4.833
