condition,judge,self_n,other_n,self_mean_composite,other_mean_composite,gap_composite,self_mean_z_composite,other_mean_z_composite,gap_z_composite,self_mean_percentile,other_mean_percentile,gap_percentile
c1,claude-opus-4.7,10,30,9.780000,7.346667,2.433333,0.887698,-0.295899,1.183597,0.867949,0.377350,0.490598
c1,gemini-3.1-pro,10,30,8.380000,7.753333,0.626667,0.241011,-0.080337,0.321347,0.501282,0.499573,0.001709
c1,gpt-5.5,10,30,8.940000,7.613333,1.326667,0.504404,-0.168135,0.672538,0.600000,0.466667,0.133333
c1,kimi-k2.6,10,30,5.740000,8.613333,-2.873333,-1.305191,0.435064,-1.740255,0.167949,0.610684,-0.442735
c2,claude-opus-4.7,10,30,7.420000,7.220000,0.200000,0.068399,-0.022800,0.091198,0.539744,0.486752,0.052991
c2,gemini-3.1-pro,10,30,8.360000,6.953333,1.406667,0.476079,-0.158693,0.634772,0.626923,0.457692,0.169231
c2,gpt-5.5,10,30,7.840000,7.106667,0.733333,0.249501,-0.083167,0.332668,0.561538,0.479487,0.082051
c2,kimi-k2.6,10,30,5.400000,7.766667,-2.366667,-0.803304,0.267768,-1.071072,0.247436,0.584188,-0.336752
c3,claude-opus-4.7,10,30,9.780000,7.346667,2.433333,0.887698,-0.295899,1.183597,0.867949,0.377350,0.490598
c3,gemini-3.1-pro,10,30,8.600000,7.686667,0.913333,0.362487,-0.120829,0.483316,0.535897,0.488034,0.047863
c3,gpt-5.5,10,30,8.940000,7.613333,1.326667,0.504404,-0.168135,0.672538,0.600000,0.466667,0.133333
c3,kimi-k2.6,10,30,5.740000,8.620000,-2.880000,-1.310187,0.436729,-1.746915,0.167949,0.610684,-0.442735
c1,pooled_judge_mean,40,120,,,0.378333,,,0.109307,,,0.045726
c2,pooled_judge_mean,40,120,,,-0.006667,,,-0.003109,,,-0.008120
c3,pooled_judge_mean,40,120,,,0.448333,,,0.148134,,,0.057265
