condition,judge,self_mean,other_mean,self_preference_gap,n_self,n_other
c1,claude-opus-4.7,9.78,7.346666666666668,2.433333333333332,10,30
c1,gemini-3.1-pro,8.379999999999999,7.753333333333334,0.6266666666666652,10,30
c1,gpt-5.5,8.940000000000001,7.613333333333334,1.326666666666667,10,30
c1,kimi-k2.6,5.74,8.613333333333333,-2.873333333333333,10,30
c2,claude-opus-4.7,7.42,7.219999999999998,0.20000000000000195,10,30
c2,gemini-3.1-pro,8.360000000000001,6.953333333333333,1.406666666666668,10,30
c2,gpt-5.5,7.840000000000001,7.1066666666666665,0.7333333333333343,10,30
c2,kimi-k2.6,5.4,7.766666666666666,-2.3666666666666654,10,30
c3,claude-opus-4.7,9.78,7.346666666666668,2.433333333333332,10,30
c3,gemini-3.1-pro,8.6,7.6866666666666665,0.9133333333333331,10,30
c3,gpt-5.5,8.940000000000001,7.613333333333335,1.3266666666666662,10,30
c3,kimi-k2.6,5.74,8.620000000000001,-2.880000000000001,10,30
