scope,condition,n,c_est,a_est,b_est,c_prime_est,indirect_est,c_lo,a_lo,b_lo,c_prime_lo,indirect_lo,c_hi,a_hi,b_hi,c_prime_hi,indirect_hi
pooled,c1,480,0.0039,0.3889,0.4413,-0.1677,0.1716,-0.1500,0.2944,0.0979,-0.4933,0.0352,0.1472,0.4778,0.8904,0.0896,0.3645
claude-opus-4.7,c1,120,1.7378,0.7333,0.1372,1.6372,0.1006,1.4644,0.5111,-0.3869,1.2975,-0.2999,2.0112,0.9111,0.5211,2.0799,0.4257
gemini-3.1-pro,c1,120,0.0089,-0.0222,-0.0784,0.0071,0.0017,-0.0333,-0.1556,-0.1423,-0.0309,-0.0070,0.0511,0.1000,-0.0052,0.0422,0.0174
gpt-5.5,c1,120,1.1244,0.7333,0.4949,0.7615,0.3629,0.7644,0.5111,0.2731,0.5436,0.1708,1.4889,0.9111,0.7068,0.9900,0.5849
kimi-k2.6,c1,120,-2.8556,0.1111,-0.0500,-2.8500,-0.0056,-3.9334,-0.1111,-0.8076,-3.9399,-0.1708,-1.8067,0.3333,0.6701,-1.7875,0.1286
pooled,c2,480,-0.1550,0.3889,0.4135,-0.3158,0.1608,-0.3150,0.3000,0.0706,-0.6199,0.0250,-0.0006,0.4722,0.7965,-0.0613,0.3400
claude-opus-4.7,c2,120,1.2022,0.7333,-0.3064,1.4269,-0.2247,0.7177,0.5556,-1.7716,0.4526,-1.3796,1.6578,0.9111,0.7848,2.7648,0.6422
gemini-3.1-pro,c2,120,-0.0111,-0.0222,-0.0450,-0.0121,0.0010,-0.0556,-0.1667,-0.1190,-0.0557,-0.0047,0.0311,0.1111,0.0747,0.0274,0.0149
gpt-5.5,c2,120,1.1533,0.7333,0.4538,0.8205,0.3328,0.8111,0.5111,0.2000,0.5646,0.1378,1.5134,0.9111,0.6978,1.0613,0.5531
kimi-k2.6,c2,120,-2.9644,0.1111,0.0680,-2.9720,0.0076,-4.0445,-0.1111,-0.6351,-4.0578,-0.1246,-1.9110,0.3333,0.7307,-1.9105,0.1408
pooled,c3,480,-0.0639,0.3889,0.3726,-0.2088,0.1449,-0.1912,0.2972,0.0317,-0.4936,0.0115,0.0611,0.4694,0.7984,0.0277,0.3230
claude-opus-4.7,c3,120,1.4667,0.7333,0.3269,1.2269,0.2397,1.1333,0.5111,-0.1419,0.9125,-0.1148,1.7822,0.9111,0.6692,1.6552,0.5435
gemini-3.1-pro,c3,120,0.0089,-0.0222,-0.0784,0.0071,0.0017,-0.0333,-0.1667,-0.1446,-0.0312,-0.0067,0.0511,0.1111,-0.0068,0.0454,0.0193
gpt-5.5,c3,120,1.1244,0.7333,0.4949,0.7615,0.3629,0.7778,0.5556,0.2923,0.5422,0.1796,1.5000,0.9111,0.7056,0.9872,0.6066
kimi-k2.6,c3,120,-2.8556,0.1111,-0.0500,-2.8500,-0.0056,-3.8756,-0.1111,-0.7685,-3.9024,-0.1666,-1.8064,0.3333,0.6600,-1.7833,0.1249
