scope,condition,n,ols_c_est,ols_a_est,ols_b_est,ols_c_prime_est,ols_indirect_est,ols_c_lo,ols_a_lo,ols_b_lo,ols_c_prime_lo,ols_indirect_lo,ols_c_hi,ols_a_hi,ols_b_hi,ols_c_prime_hi,ols_indirect_hi,logit_c_est,logit_a_logit_est,logit_b_est,logit_c_prime_est,logit_indirect_hybrid_est,logit_c_lo,logit_a_logit_lo,logit_b_lo,logit_c_prime_lo,logit_indirect_hybrid_lo,logit_c_hi,logit_a_logit_hi,logit_b_hi,logit_c_prime_hi,logit_indirect_hybrid_hi,std_a_std,std_b_std,std_c_std,std_c_prime_std,std_indirect_std,sens_needed_r2_a,sens_needed_r2_b,sens_f2_a,sens_f2_b,sens_se_a_approx,sens_se_b_approx
pooled,c1,480,0.0039,0.3889,0.4413,-0.1677,0.1716,-0.1500,0.2944,0.0979,-0.4933,0.0352,0.1472,0.4778,0.8904,0.0896,0.3645,0.0039,1.6422,0.4413,-0.1677,0.7247,-0.1500,1.2148,0.0979,-0.4933,0.1466,0.1472,2.0853,0.8904,0.0896,1.5603,0.3426,0.1331,0.0010,-0.0446,0.0456,0.1054,0.0175,0.7077,0.0745,0.0518,0.1513
claude-opus-4.7,c1,120,1.7378,0.7333,0.1372,1.6372,0.1006,1.4644,0.5111,-0.3869,1.2975,-0.2999,2.0112,0.9111,0.5211,2.0799,0.4257,1.7378,4.0254,0.1372,1.6372,0.5522,1.4644,2.5181,-0.3869,1.2975,-1.7032,2.0112,6.4232,0.5211,2.0799,2.6936,0.7333,0.0332,0.4211,0.3968,0.0244,0.3535,0.0011,6.1534,0.0059,0.0913,0.3767
gemini-3.1-pro,c1,120,0.0089,-0.0222,-0.0784,0.0071,0.0017,-0.0333,-0.1556,-0.1423,-0.0309,-0.0070,0.0511,0.1000,-0.0052,0.0422,0.0174,0.0089,-0.2076,-0.0784,0.0071,0.0163,-0.0333,-1.2833,-0.1423,-0.0309,-0.0934,0.0511,1.4978,-0.0052,0.0422,0.1488,-0.0300,-0.1699,0.0260,0.0209,0.0051,0.0009,0.0285,0.0048,0.2860,0.0677,0.0421
gpt-5.5,c1,120,1.1244,0.7333,0.4949,0.7615,0.3629,0.7644,0.5111,0.2731,0.5436,0.1708,1.4889,0.9111,0.7068,0.9900,0.5849,1.1244,4.0254,0.4949,0.7615,1.9920,0.7644,2.5181,0.2731,0.5436,0.8795,1.4889,6.4232,0.7068,0.9900,3.8243,0.7333,0.1230,0.2795,0.1893,0.0902,0.3535,0.0152,6.1534,0.0813,0.0913,0.3672
kimi-k2.6,c1,120,-2.8556,0.1111,-0.0500,-2.8500,-0.0056,-3.9334,-0.1111,-0.8076,-3.9399,-0.1708,-1.8067,0.3333,0.6701,-1.7875,0.1286,-2.8556,0.5596,-0.0500,-2.8500,-0.0280,-3.9334,-0.6539,-0.8076,-3.9399,-0.8326,-1.8067,1.6094,0.6701,-1.7875,0.6375,0.1111,-0.0107,-0.6114,-0.6102,-0.0012,0.0124,0.0001,0.0661,0.0006,0.0913,0.4263
pooled,c2,480,-0.1550,0.3889,0.4135,-0.3158,0.1608,-0.3150,0.3000,0.0706,-0.6199,0.0250,-0.0006,0.4722,0.7965,-0.0613,0.3400,-0.1550,1.6422,0.4135,-0.3158,0.6790,-0.3150,1.2385,0.0706,-0.6199,0.1045,-0.0006,2.0636,0.7965,-0.0613,1.4796,0.3426,0.1168,-0.0386,-0.0786,0.0400,0.1054,0.0135,0.7077,0.0571,0.0518,0.1616
claude-opus-4.7,c2,120,1.2022,0.7333,-0.3064,1.4269,-0.2247,0.7177,0.5556,-1.7716,0.4526,-1.3796,1.6578,0.9111,0.7848,2.7648,0.6422,1.2022,4.0254,-0.3064,1.4269,-1.2334,0.7177,2.7726,-1.7716,0.4526,-8.2357,1.6578,6.4232,0.7848,2.7648,3.8167,0.7333,-0.0672,0.2635,0.3128,-0.0493,0.3535,0.0046,6.1534,0.0240,0.0913,0.4165
gemini-3.1-pro,c2,120,-0.0111,-0.0222,-0.0450,-0.0121,0.0010,-0.0556,-0.1667,-0.1190,-0.0557,-0.0047,0.0311,0.1111,0.0747,0.0274,0.0149,-0.0111,-0.2076,-0.0450,-0.0121,0.0093,-0.0556,-1.4495,-0.1190,-0.0557,-0.0551,0.0311,1.6756,0.0747,0.0274,0.1609,-0.0300,-0.1003,-0.0334,-0.0364,0.0030,0.0009,0.0101,0.0048,0.0978,0.0677,0.0409
gpt-5.5,c2,120,1.1533,0.7333,0.4538,0.8205,0.3328,0.8111,0.5111,0.2000,0.5646,0.1378,1.5134,0.9111,0.6978,1.0613,0.5531,1.1533,4.0254,0.4538,0.8205,1.8269,0.8111,2.5181,0.2000,0.5646,0.7208,1.5134,6.4232,0.6978,1.0613,3.6037,0.7333,0.1078,0.2740,0.1949,0.0791,0.3535,0.0117,6.1534,0.0622,0.0913,0.3842
kimi-k2.6,c2,120,-2.9644,0.1111,0.0680,-2.9720,0.0076,-4.0445,-0.1111,-0.6351,-4.0578,-0.1246,-1.9110,0.3333,0.7307,-1.9105,0.1408,-2.9644,0.5596,0.0680,-2.9720,0.0381,-4.0445,-0.6539,-0.6351,-4.0578,-0.6044,-1.9110,1.6094,0.7307,-1.9105,0.6848,0.1111,0.0144,-0.6287,-0.6303,0.0016,0.0124,0.0002,0.0661,0.0011,0.0913,0.4304
pooled,c3,480,-0.0639,0.3889,0.3726,-0.2088,0.1449,-0.1912,0.2972,0.0317,-0.4936,0.0115,0.0611,0.4694,0.7984,0.0277,0.3230,-0.0639,1.6422,0.3726,-0.2088,0.6119,-0.1912,1.2290,0.0317,-0.4936,0.0479,0.0611,2.0501,0.7984,0.0277,1.3901,0.3426,0.1100,-0.0166,-0.0543,0.0377,0.1054,0.0120,0.7077,0.0506,0.0518,0.1546
claude-opus-4.7,c3,120,1.4667,0.7333,0.3269,1.2269,0.2397,1.1333,0.5111,-0.1419,0.9125,-0.1148,1.7822,0.9111,0.6692,1.6552,0.5435,1.4667,4.0254,0.3269,1.2269,1.3160,1.1333,2.5181,-0.1419,0.9125,-0.6537,1.7822,6.4232,0.6692,1.6552,3.6443,0.7333,0.0763,0.3424,0.2864,0.0560,0.3535,0.0059,6.1534,0.0310,0.0913,0.3910
