Q,Q_se,T,T_se,TxQ,TxQ_se,b0,b0_se,bin,condition,kind,n,n_other,n_self,scope
0.6558,0.0132,0.0056,0.0587,0.8856,0.0628,8.2626,0.0147,,c1,interaction,480,,,pooled
0.6390,0.0179,-0.2166,0.0924,0.7384,0.1192,8.2833,0.0277,,c2,interaction,480,,,pooled
0.6383,0.0185,-0.0921,0.0545,0.9141,0.0465,8.3740,0.0186,,c3,interaction,480,,,pooled
1.4102,0.0223,0.6900,0.3987,-0.6992,0.3908,8.4193,0.0544,,c1,interaction,120,,,claude-opus-4.7
1.5559,0.0433,-0.4411,0.2844,-0.0146,0.2741,8.7249,0.0737,,c2,interaction,120,,,claude-opus-4.7
1.5153,0.0330,0.7506,0.2156,-1.2134,0.2187,8.8815,0.0693,,c3,interaction,120,,,claude-opus-4.7
0.0215,0.0074,0.0081,0.0187,0.1000,0.0275,8.2712,0.0170,,c1,interaction,120,,,gemini-3.1-pro
0.0200,0.0090,-0.0345,0.0245,0.0456,0.0412,8.2799,0.0176,,c2,interaction,120,,,gemini-3.1-pro
0.0201,0.0074,-0.0037,0.0196,0.1101,0.0367,8.2717,0.0168,,c3,interaction,120,,,gemini-3.1-pro
1.2193,0.0293,0.4248,0.3110,0.0379,0.6757,7.7198,0.0853,,c1,interaction,120,,,gpt-5.5
1.1928,0.0478,0.3413,0.2514,0.3179,0.5027,7.4225,0.0962,,c2,interaction,120,,,gpt-5.5
1.1793,0.0367,0.9948,0.2774,-1.2514,0.6893,7.7077,0.0911,,c3,interaction,120,,,gpt-5.5
0.7480,0.1312,0.0455,0.1525,1.2041,0.1612,8.9003,0.0890,,c1,interaction,120,,,kimi-k2.6
0.5551,0.1271,-0.4309,0.1660,1.0803,0.1831,9.0003,0.0962,,c2,interaction,120,,,kimi-k2.6
0.8530,0.1608,-0.0854,0.1637,0.9631,0.1845,8.8539,0.1001,,c3,interaction,120,,,kimi-k2.6
,,-0.3904,0.2054,,,,,low,c1,binned,184,137,47,pooled
,,0.0813,0.1162,,,,,mid,c1,binned,142,106,36,pooled
,,0.5539,0.0822,,,,,high,c1,binned,143,110,33,pooled
,,-1.0526,0.2986,,,,,low,c2,binned,170,132,38,pooled
,,-0.0332,0.1064,,,,,mid,c2,binned,154,107,47,pooled
,,0.4778,0.0862,,,,,high,c2,binned,144,111,33,pooled
,,-0.9444,0.2278,,,,,low,c3,binned,153,117,36,pooled
,,0.1498,0.0967,,,,,mid,c3,binned,156,116,40,pooled
,,0.4561,0.0982,,,,,high,c3,binned,161,121,40,pooled
,,1.7080,0.6146,,,,,low,c1,binned,52,50,2,claude-opus-4.7
,,0.7424,0.1806,,,,,mid,c1,binned,37,33,4,claude-opus-4.7
,,0.2761,0.1970,,,,,high,c1,binned,27,4,23,claude-opus-4.7
,,-0.1786,1.7753,,,,,low,c2,binned,58,56,2,claude-opus-4.7
,,-0.0339,0.1887,,,,,mid,c2,binned,41,30,11,claude-opus-4.7
,,0.2059,0.0913,,,,,high,c2,binned,19,2,17,claude-opus-4.7
,,1.7308,0.3738,,,,,low,c3,binned,54,52,2,claude-opus-4.7
,,0.6625,0.0657,,,,,mid,c3,binned,36,32,4,claude-opus-4.7
,,0.1804,0.1704,,,,,high,c3,binned,27,4,23,claude-opus-4.7
,,0.0524,0.0412,,,,,low,c1,binned,43,25,18,gemini-3.1-pro
,,0.0968,0.0446,,,,,mid,c1,binned,25,18,7,gemini-3.1-pro
,,0.0578,0.0139,,,,,high,c1,binned,48,45,3,gemini-3.1-pro
,,0.0169,0.0494,,,,,low,c2,binned,36,26,10,gemini-3.1-pro
,,0.0095,0.0468,,,,,mid,c2,binned,29,14,15,gemini-3.1-pro
,,-0.0106,0.0522,,,,,high,c2,binned,51,47,4,gemini-3.1-pro
,,0.0152,0.0452,,,,,low,c3,binned,34,22,12,gemini-3.1-pro
,,0.1298,0.0583,,,,,mid,c3,binned,29,16,13,gemini-3.1-pro
,,0.0731,0.0135,,,,,high,c3,binned,55,52,3,gemini-3.1-pro
,,nan,nan,,,,,low,c1,binned,31,31,0,gpt-5.5
,,0.8394,0.2131,,,,,mid,c1,binned,49,27,22,gpt-5.5
,,-0.1290,0.2493,,,,,high,c1,binned,38,31,7,gpt-5.5
,,2.4174,0.8063,,,,,low,c2,binned,26,23,3,gpt-5.5
,,0.8803,0.2433,,,,,mid,c2,binned,43,29,14,gpt-5.5
,,-0.0629,0.1677,,,,,high,c2,binned,47,35,12,gpt-5.5
,,nan,nan,,,,,low,c3,binned,21,21,0,gpt-5.5
,,1.0644,0.1558,,,,,mid,c3,binned,51,36,15,gpt-5.5
,,-0.4063,0.1912,,,,,high,c3,binned,46,32,14,gpt-5.5
,,-2.7011,0.6013,,,,,low,c1,binned,58,31,27,kimi-k2.6
,,-0.1738,0.2110,,,,,mid,c1,binned,31,28,3,kimi-k2.6
,,nan,nan,,,,,high,c1,binned,30,30,0,kimi-k2.6
,,-3.3797,0.6429,,,,,low,c2,binned,50,27,23,kimi-k2.6
,,-0.3454,0.1808,,,,,mid,c2,binned,41,34,7,kimi-k2.6
,,nan,nan,,,,,high,c2,binned,27,27,0,kimi-k2.6
,,-3.2818,0.6537,,,,,low,c3,binned,44,22,22,kimi-k2.6
,,-0.2375,0.1353,,,,,mid,c3,binned,40,32,8,kimi-k2.6
,,nan,nan,,,,,high,c3,binned,33,33,0,kimi-k2.6
