scope,condition,n,T,T_se,Q,Q_se,TxQ,TxQ_se
pooled+judgeFE,c1,480,0.0057,0.0580,0.9088,0.0151,1.0039,0.0677
pooled+judgeFE,c2,480,-0.2218,0.0946,0.8718,0.0253,0.8404,0.1253
pooled+judgeFE,c3,480,-0.0929,0.0550,0.8961,0.0149,0.9292,0.0552
no-Kimi-judge,c1,360,0.4816,0.0509,0.6879,0.0163,0.2526,0.0698
no-Kimi-judge,c2,360,0.1581,0.1035,0.7286,0.0407,0.3567,0.1641
no-Kimi-judge,c3,360,0.4356,0.0557,0.6541,0.0216,0.0944,0.0751
no-Kimi-author,c1,360,0.5080,0.0473,0.7665,0.0602,-0.3557,0.1330
no-Kimi-author,c2,360,0.2268,0.0455,0.6417,0.0501,0.2087,0.2881
no-Kimi-author,c3,360,0.3738,0.0468,0.7018,0.0782,-0.4444,0.0911
no-Kimi-both,c1,270,0.5088,0.0481,0.7728,0.0482,-0.3570,0.1317
no-Kimi-both,c2,270,0.2288,0.0458,0.6737,0.0677,0.2112,0.2964
no-Kimi-both,c3,270,0.3694,0.0471,0.6558,0.0684,-0.4323,0.0873
