dimension,condition,N,c,c_lo,c_hi,c_prime,c_prime_lo,c_prime_hi,a1,b1,indirect_pred,indirect_pred_lo,indirect_pred_hi,a2,b2,indirect_style,indirect_style_lo,indirect_style_hi,b1_lo,b1_hi,b2_lo,b2_hi
correctness,c1,480,-0.04722222222222069,-0.15833333333333344,0.05833333333333239,0.05198363809776838,-0.3299787820160277,0.3495605783830276,0.3888888888888889,0.116065745447388,0.045136678785095335,-0.12171996626767356,0.2638952548563332,0.34025704994953576,-0.4242161598899746,-0.14434253910508332,-0.3061662944888513,0.015277310728346507,-0.32998205420490756,0.6337493216548876,-0.9023274993850695,0.045891423679883414
correctness,c2,480,-0.06111111111111206,-0.2055555555555561,0.08340277777777995,-0.03281254205035654,-0.3582772846002649,0.24849818733498208,0.3888888888888889,0.14211604628458535,0.0552673513328943,-0.1071991988549288,0.2706906048137065,0.22036942662758105,-0.37920832155575734,-0.08356592039364963,-0.22344856147768943,0.03560018790977207,-0.29025095006594887,0.6446722345726841,-0.9910129710249846,0.1585161305082031
correctness,c3,480,-0.05833333333333331,-0.16388888888888947,0.047291666666668994,0.09700231821305647,-0.28036630895686504,0.38984152782911985,0.38888888888888934,0.08565139087769574,0.03330887423021505,-0.1330355383254525,0.2504990797685396,0.3402570499495358,-0.5544176845258095,-0.18864452577660437,-0.3588284136703475,-0.021567521913035993,-0.3534714484479337,0.60170079956893,-1.050112894530178,-0.06261318085143991
completeness,c1,480,0.11944444444444698,0.024999999999999634,0.21944444444444247,0.04948567774376378,-0.27945910561990356,0.30999861154851605,0.3888888888888889,0.5828250961527928,0.2266542040594194,0.05689329736300554,0.4469774315240674,0.34025704994953576,-0.4605207662323938,-0.1566954373587341,-0.30199850143287194,-0.03180094771829807,0.15860460070569624,1.0738692280819233,-0.8791132314537436,-0.09238253269353269
completeness,c2,480,0.03055555555555498,-0.10284722222222321,0.1638888888888881,-0.13352058200427447,-0.4249593990910226,0.11143478638849631,0.3888888888888889,0.6629493147644782,0.25781362240840816,0.08376934576123582,0.47983694978105046,0.22036942662758105,-0.4253651982631552,-0.09373748484857886,-0.1951135216822372,0.0008142503855915382,0.25028147678683405,1.1348086810404334,-0.8589272396198132,0.004316500651826102
completeness,c3,480,0.11944444444444358,0.022152777777777233,0.2222222222222218,0.05824639451484345,-0.2654502693219965,0.32084804609988216,0.38888888888888934,0.596274022649393,0.2318843421414309,0.058220923017396474,0.4558112869999467,0.3402570499495358,-0.5016392525508078,-0.17068629221182802,-0.325893192424883,-0.037169003445715255,0.15822166456826392,1.1011551056643154,-0.9399539977815395,-0.11360784000502261
clarity,c1,480,-0.13333333333333217,-0.347222222222222,0.0611111111111106,-0.07045808270005083,-0.35881665478893904,0.18754446696155322,0.3888888888888889,0.0899082101206573,0.034964303935811174,-0.046172317008167804,0.12402053397554542,0.34025704994953576,-0.28754600259892094,-0.09783955456909038,-0.2861782136033672,0.0327627624666269,-0.11385571106615199,0.32287786923906764,-0.7796005008350309,0.0999130891732696
clarity,c2,480,-0.4194444444444445,-0.6194444444444444,-0.2444444444444448,-0.3829250269059613,-0.6708916396022043,-0.13693251331832326,0.3888888888888889,-0.009152221047312947,-0.0035591970739550353,-0.08269630092538428,0.0907333912616398,0.22036942662758105,-0.14956802751151352,-0.0329602204645305,-0.14421139909813438,0.07671036367819396,-0.21775440431480397,0.2200759486042981,-0.6647872471989843,0.3265290761131701
clarity,c3,480,-0.34166666666666656,-0.5306250000000012,-0.16666666666666677,-0.12809113566757896,-0.4477014081549876,0.15609318365335897,0.38888888888888934,-0.0876642545293071,-0.03409165453917502,-0.12168364997290167,0.055740894771937374,0.3402570499495358,-0.5274949526733741,-0.1794838764599123,-0.3738332748290872,-0.02579345214306422,-0.2990553301440097,0.14870918328021368,-1.0476509095006894,-0.07486168869052882
creativity,c1,480,-0.13611111111111077,-0.3834027777777784,0.08611111111111099,-0.3315843824128629,-0.7224767635173575,0.008269358844297999,0.3888888888888889,0.5004282516706386,0.19461098676080393,0.07672398785544329,0.34837935750503746,0.34025704994953576,0.00253421506204949,0.0008622845409506392,-0.18051601306383244,0.16793046757806246,0.21191673010654985,0.8597472682117742,-0.5195365003939649,0.48497671246274593
creativity,c2,480,-0.24444444444444463,-0.500069444444444,-3.400981163450264e-16,-0.4688327858054296,-0.8674126436799676,-0.11874619447537117,0.3888888888888889,0.4121050439497379,0.1602630726471203,0.035804136133680234,0.3173691915720299,0.22036942662758105,0.290989860504718,0.0641252687138645,-0.08213896342314947,0.21472532524684296,0.10068298360594545,0.7731540231598147,-0.41321343773265584,0.9046890646508842
creativity,c3,480,-0.1166666666666674,-0.336111111111111,0.08611111111111165,-0.2711120123603163,-0.6762374299286953,0.07834041388934115,0.38888888888888934,0.4521671151224954,0.17584276699208176,0.05537880515253382,0.3374162437414563,0.3402570499495358,-0.06288604836138999,-0.021397421298430398,-0.22047771897530524,0.1770651043662423,0.1497869436498733,0.8305609157509924,-0.6636501014963002,0.5000177861681248
constraint_adherence,c1,480,0.21666666666666926,0.06111111111111296,0.3666666666666661,0.03533741656449857,-0.3823134724959315,0.3869532036421223,0.3888888888888889,0.9212194627274722,0.3582520132829059,0.1606111442237435,0.6109940189930769,0.34025704994953576,-0.5199679571869946,-0.1769227631807333,-0.3565195351726328,-0.0031751239801747215,0.46665503491367544,1.4449941251769205,-1.0693437989537744,-0.008835067371914236
constraint_adherence,c2,480,-0.08055555555555609,-0.23618055555555695,0.08340277777777773,-0.29206341664423313,-0.6826999743838293,0.0415300605526311,0.3888888888888889,0.8707049020584487,0.33860746191161895,0.14027078992331982,0.6063271055553942,0.22036942662758105,-0.5767569611084814,-0.1270996008229421,-0.26784365939200144,-0.0059630018679309275,0.40442034632839574,1.4119587768711406,-1.2239089392214078,-0.025111122975538178
constraint_adherence,c3,480,0.07777777777777672,-0.061111111111110984,0.21673611111111246,-0.0006155737618399604,-0.40701793475282705,0.34527044903171156,0.38888888888888934,0.8221208385654349,0.31971365944211394,0.12823002048440502,0.5740593191283389,0.3402570499495358,-0.7092294132870628,-0.24132030790249612,-0.42944910761033284,-0.0523222611764785,0.3605970645572265,1.3507302153205902,-1.3022545237906271,-0.15181964890152308
